Email,Empresa,Website,Industria,Tipo,Descripción,Estado,País,Fuente,Fecha
centroinfantilarbolazul@gmail.com,Centro Infantil El Árbol Azul,https://www.facebook.com/centroinfantilarbolazul/?locale=es_LA,salud,pyme,Centro infantil que ofrece formación y cuidado de menores de edad desde los 3 meses de edad. Proporc,NEW,CR,serper_search,2026-03-23 02:24
mail@smithsterling.com,Smith-Sterling Dental Laboratories,http://www.smithsterling.com/,salud,corporacion,"Laboratorio dental que ofrece servicios de prótesis dentales incluyendo coronas, puentes, implantes,",NEW,CR,serper_search,2026-03-23 02:24
info@doctorrivera.com,Clínica Dr. Erick Rivera,http://www.doctorrivera.com/,salud,corporacion,"Clínica especializada en cirugía plástica, reconstructiva y odontología. Ofrece servicios de implant",NEW,CR,serper_search,2026-03-23 02:24
info@arguedassanchezdental.com,Clínica Arguedas Sánchez Dental,http://www.arguedassanchezdental.com/,salud,pyme,Centro odontológico ubicado en Alajuela que ofrece soluciones dentales completas. Proporciona servic,NEW,CR,serper_search,2026-03-23 02:23
novodentaladm@gmail.com,Novo Dental,https://www.novodental.info/,salud,pyme,"Clínica dental que ofrece servicios odontológicos integrales incluyendo cirugía de cordales, implant",NEW,CR,serper_search,2026-03-23 02:23
clinica.dental6536@gmail.com,Especialidades Dentales Los Ángeles,https://www.especialidadesdentales.net/,salud,pyme,Clínica dental ubicada en Los Ángeles de San Rafael de Heredia que ofrece servicios integrales de od,NEW,CR,serper_search,2026-03-23 02:23
metropolidentalsabana@gmail.com,Metrópol Dental,https://metropolidentalcr.com/,salud,pyme,"Clínica dental ubicada en San José, Costa Rica, que ofrece servicios de odontología general, implant",NEW,CR,serper_search,2026-03-23 02:22
inquiry@aestheticdentalcr.com,Aesthetic Dental Care,https://www.aestheticdentalcr.com/,salud,pyme,Clínica dental especializada en implantes dentales premium en Costa Rica. Ofrece procedimientos como,NEW,CR,serper_search,2026-03-23 02:22
admin@atelierdentalcr.com,Atelier Dental,http://www.atelierdentalcr.com/,salud,pyme,"Clínica dental estética y spa ubicada en San José, Costa Rica. Ofrece servicios de odontología gener",NEW,CR,serper_search,2026-03-23 02:22
ddsdental@ddsdentalcr.com,DDS Dental,http://www.ddsdentalcr.com/,salud,pyme,Clínica dental ubicada en Costa Rica especializada en implantes dentales y odontología cosmética. Of,NEW,CR,serper_search,2026-03-23 02:22
info@dentalimplantscr.net,Dental Implants Costa Rica,https://dentalimplantscr.net/,salud,pyme,"Clínica dental especializada en implantes dentales, coronas, puentes y carillas estéticas. Ofrece at",NEW,CR,serper_search,2026-03-23 02:21
info@colinadental.com,Colina Dental,https://www.colinadental.com/,salud,corporacion,Clínica dental en Costa Rica que ofrece servicios odontológicos integrales incluyendo implantes dent,NEW,CR,serper_search,2026-03-23 02:21
info@lamicqdental.com,Lamicq Dental Care,https://lamicqdental.com/,salud,pyme,Clínica dental en Costa Rica que ofrece servicios odontológicos integrales incluyendo tratamientos p,NEW,CR,serper_search,2026-03-23 02:21
info@confidentalcr.com,ConfiDental Costa Rica,http://confidentalcr.com/,salud,corporacion,Clínica dental especializada en turismo dental que ofrece procedimientos odontológicos como implante,NEW,CR,serper_search,2026-03-23 02:21
travel.logistics@confidentalcr.com,ConfiDental Costa Rica,http://confidentalcr.com/,salud,corporacion,Clínica dental especializada en turismo dental que ofrece procedimientos odontológicos como implante,NEW,CR,serper_search,2026-03-23 02:21
international@confidentalcr.com,ConfiDental Costa Rica,http://confidentalcr.com/,salud,corporacion,Clínica dental especializada en turismo dental que ofrece procedimientos odontológicos como implante,NEW,CR,serper_search,2026-03-23 02:21
internationalpatients@confidentalcr.com,ConfiDental Costa Rica,http://confidentalcr.com/,salud,corporacion,Clínica dental especializada en turismo dental que ofrece procedimientos odontológicos como implante,NEW,CR,serper_search,2026-03-23 02:21
asistente@asepani.org,ASEPANI,http://www.asepani.org/,finanzas,solidarista,"ASEPANI es una organización solidarista que ofrece servicios financieros a sus afiliados, incluyendo",NEW,CR,serper_search,2026-03-23 02:19
buzondesugerencias@asemina.com,ASEMINA - Asociación Solidarista de Empleados del INA,http://www.asemina.com/,finanzas,solidarista,ASEMINA es una asociación solidarista que ofrece servicios financieros innovadores y de calidad a su,NEW,CR,serper_search,2026-03-23 02:19
asemina@ina.ac.cr,ASEMINA - Asociación Solidarista de Empleados del INA,http://www.asemina.com/,finanzas,solidarista,ASEMINA es una asociación solidarista que ofrece servicios financieros innovadores y de calidad a su,NEW,CR,serper_search,2026-03-23 02:19
servicioalasociado@asebanacio.com,ASEBANACIO,https://asebanacio.com/,finanzas,solidarista,"Asociación solidarista que ofrece servicios financieros incluyendo créditos, tarjetas de crédito, ah",NEW,CR,serper_search,2026-03-23 02:19
ventas@limpiezacr.com,LCR Limpieza Costa Rica,https://www.limpiezacr.com/?srsltid=AfmBOoq1SaCz18sCfVq1tBEL1uEL0-ltVswbbzHn89PcvKv6rTxivcta,retail,pyme,"Empresa costarricense dedicada a la distribución y venta de productos de limpieza, desinfección, pap",NEW,CR,serper_search,2026-03-23 02:19
info@buckeyecostarica.com,Buckeye Costa Rica,https://www.buckeyecostarica.com/,manufactura,pyme,Empresa de productos de limpieza de alta calidad y resistencia industrial. Ofrece un catálogo de pro,NEW,CR,serper_search,2026-03-23 02:18
dpo@kemical.net,Kemical,https://kemical.net/,manufactura,pyme,Empresa fabricante de productos de limpieza y desinfección para diversas industrias incluyendo alime,NEW,CR,serper_search,2026-03-23 02:18
servicioalcliente@kemical.net,Kemical,https://kemical.net/,manufactura,pyme,Empresa fabricante de productos de limpieza y desinfección para diversas industrias incluyendo alime,NEW,CR,serper_search,2026-03-23 02:18
servicioalcliente@saniprocr.com,Sanipro,https://saniprocr.com/,retail,pyme,Empresa costarricense especializada en la distribución de productos y accesorios de higiene y limpie,NEW,CR,serper_search,2026-03-23 02:18
info@dafesa.com,DAFESA,https://dafesa.com/?srsltid=AfmBOoprocA9uYWXRLEuvAGpjN47ynRd7Yqu2K4FNLvKc8ZTTy49FlcF,retail,pyme,DAFESA es una empresa costarricense fundada en 1998 que distribuye productos y servicios de limpieza,NEW,CR,serper_search,2026-03-23 02:17
expovino@ekaconsultores.com,Distribuidora Panamericana de Licores,https://expovinocr.com/directorio-1/dispal,retail,pyme,Distribuidor e importador de vinos y bebidas alcohólicas en Costa Rica. Representa marcas de vinos p,NEW,CR,serper_search,2026-03-23 02:17
info@dipo.com,DIPO,https://www.dipo.com/,logística,corporacion,"Empresa costarricense que opera en logística, ventas y distribución de marcas. Se dedica a conectar ",NEW,CR,serper_search,2026-03-23 02:17
info@alpiste.co.cr,Alpiste,https://alpiste.co.cr/,retail,pyme,"Empresa costarricense de comercio electrónico especializada en la venta de licores, cervezas, vinos,",NEW,CR,serper_search,2026-03-23 02:16
info@robasacr.com,ROBASA Distribuidora,https://robasacr.com/,logística,pyme,Empresa líder en distribución de productos de consumo masivo en Costa Rica. Distribuye marcas recono,NEW,CR,serper_search,2026-03-23 02:16
contacto@ekaconsultores.com,EXPHORE,https://www.exphore.com/proveedores-alimentos,retail,otro,EXPHORE es una expo y plataforma de negocios enfocada en la industria hotelera y de restaurantes en ,NEW,CR,serper_search,2026-03-23 02:16
exphore@ekaconsultores.com,EXPHORE,https://www.exphore.com/proveedores-alimentos,retail,otro,EXPHORE es una expo y plataforma de negocios enfocada en la industria hotelera y de restaurantes en ,NEW,CR,serper_search,2026-03-23 02:16
scliente1@universal.co.cr,Universal de Alimentos,https://universal.co.cr/,manufactura,pyme,"Distribuidora y fabricante de productos para panificación y pastelería. Ofrece premezclas, productos",NEW,CR,serper_search,2026-03-23 02:15
ventas@grupociisa.com,Belca Costa Rica,https://belcacr.com/,retail,pyme,Empresa costarricense de distribución y venta de productos alimenticios y de consumo. Ofrece una amp,NEW,CR,serper_search,2026-03-23 02:15
ventas@costaricancocoa.com,Costarican Cocoa,https://www.costaricancocoa.com/contenido/distribuidores/,manufactura,corporacion,Empresa costarricense productora y distribuidora de cacao y chocolate. Ofrece productos de cacao y c,NEW,CR,serper_search,2026-03-23 02:15
gamarvinas@gmail.com,Costarican Cocoa,https://www.costaricancocoa.com/contenido/distribuidores/,manufactura,corporacion,Empresa costarricense productora y distribuidora de cacao y chocolate. Ofrece productos de cacao y c,NEW,CR,serper_search,2026-03-23 02:15
marcossalas63@yahoo.com,Costarican Cocoa,https://www.costaricancocoa.com/contenido/distribuidores/,manufactura,corporacion,Empresa costarricense productora y distribuidora de cacao y chocolate. Ofrece productos de cacao y c,NEW,CR,serper_search,2026-03-23 02:15
eesr2011@hotmail.com,Costarican Cocoa,https://www.costaricancocoa.com/contenido/distribuidores/,manufactura,corporacion,Empresa costarricense productora y distribuidora de cacao y chocolate. Ofrece productos de cacao y c,NEW,CR,serper_search,2026-03-23 02:15
asococoa@costaricancocoa.com,Costarican Cocoa,https://www.costaricancocoa.com/contenido/distribuidores/,manufactura,corporacion,Empresa costarricense productora y distribuidora de cacao y chocolate. Ofrece productos de cacao y c,NEW,CR,serper_search,2026-03-23 02:15
rhumanos@fooddepotcr.com,Food Depot,https://fooddepotcr.com/blog/productos/14-distribuidora-de-productos-alimenticios-en-costa-rica,retail,pyme,Distribuidora de productos alimenticios asiáticos y otros insumos en Costa Rica. Ofrece una amplia v,NEW,CR,serper_search,2026-03-23 02:15
sac@fooddepotcr.com,Food Depot,https://fooddepotcr.com/blog/productos/14-distribuidora-de-productos-alimenticios-en-costa-rica,retail,pyme,Distribuidora de productos alimenticios asiáticos y otros insumos en Costa Rica. Ofrece una amplia v,NEW,CR,serper_search,2026-03-23 02:15
ohs@distcaribe.com,Distribuidora del Caribe S.A.,https://delcaribeshop.com/cr/contacto/,retail,pyme,Distribuidora fundada en 1974 que opera una tienda en línea ofreciendo productos en categorías como ,NEW,CR,serper_search,2026-03-23 02:14
vtbo01.cr@distcaribe.com,Distribuidora del Caribe S.A.,https://delcaribeshop.com/cr/contacto/,retail,pyme,Distribuidora fundada en 1974 que opera una tienda en línea ofreciendo productos en categorías como ,NEW,CR,serper_search,2026-03-23 02:14
servicioalcliente@disal.cr,Disal,https://www.disal.cr/,logística,corporacion,Empresa costarricense de distribución y comercialización que cubre todo el territorio nacional. Actú,NEW,CR,serper_search,2026-03-23 02:14
info@di.cr,,https://www.di.cr/,retail,pyme,Tienda en línea de e-commerce que ofrece productos (aparentemente vinos y bebidas) con envíos a todo,NEW,CR,serper_search,2026-03-23 02:14
cdi.nuestrosangeles@gmail.com,Red de Cuido y Desarrollo Infantil (Red CUDI),https://redcuidoinfantil.go.cr/centro/nuestros-angeles-centro-de-desarrollo-infantil/,salud,gobierno,Red pública de instituciones y centros de desarrollo infantil que brinda servicios de cuido y educac,NEW,CR,serper_search,2026-03-23 02:14
dalilu.maternity@gmail.com,Dalilú,https://dalilumaternity.com/,retail,pyme,"Empresa costarricense especializada en venta de ropa para maternidad, lactancia y bebés. Ofrece una ",NEW,CR,serper_search,2026-03-23 02:13
servicioalcliente@hilc.cr,Hospital La Católica,https://hilc.cr/servicio/maternidad-y-neonatologia,salud,corporacion,"Hospital de referencia en Costa Rica que ofrece servicios de salud integral incluyendo emergencias, ",NEW,CR,serper_search,2026-03-23 02:13
danixa@infomybreastfriend.com,Nidos y Nudos,https://www.nidosynudos.com/directorio-materno-cr/?srsltid=AfmBOorkxz3W28Ax_vdMFjPCIR0NowJNn4zanAU1nzY2qu-ODcQDTASo,salud,pyme,"Empresa dedicada a la venta de portabebés y productos de lactancia materna, además de ofrecer educac",NEW,CR,serper_search,2026-03-23 02:13
hola@nidosynudos.com,Nidos y Nudos,https://www.nidosynudos.com/directorio-materno-cr/?srsltid=AfmBOorkxz3W28Ax_vdMFjPCIR0NowJNn4zanAU1nzY2qu-ODcQDTASo,salud,pyme,"Empresa dedicada a la venta de portabebés y productos de lactancia materna, además de ofrecer educac",NEW,CR,serper_search,2026-03-23 02:13
info@lifecaringcr.com,Nidos y Nudos,https://www.nidosynudos.com/directorio-materno-cr/?srsltid=AfmBOorkxz3W28Ax_vdMFjPCIR0NowJNn4zanAU1nzY2qu-ODcQDTASo,salud,pyme,"Empresa dedicada a la venta de portabebés y productos de lactancia materna, además de ofrecer educac",NEW,CR,serper_search,2026-03-23 02:13
nacimientoconscientecr@gmail.com,Nidos y Nudos,https://www.nidosynudos.com/directorio-materno-cr/?srsltid=AfmBOorkxz3W28Ax_vdMFjPCIR0NowJNn4zanAU1nzY2qu-ODcQDTASo,salud,pyme,"Empresa dedicada a la venta de portabebés y productos de lactancia materna, además de ofrecer educac",NEW,CR,serper_search,2026-03-23 02:13
info@mamasol.com,Mamasol,https://www.mamasol.com/contactenos/,salud,ong,"Organización costarricense dedicada a promover el parto humanizado, seguro y libre de violencia. Ofr",NEW,CR,serper_search,2026-03-23 02:13
infocirugia@metropolitanocr.com,Bebé Metropolitano,https://bebe.metropolitanocr.com/contacto-maternidad/,salud,corporacion,"Servicio de maternidad y atención obstétrica en Costa Rica. Ofrece planes de maternidad, servicios e",NEW,CR,serper_search,2026-03-23 02:12
jn.primovargasvalverde@mep.go.cr,Dirección Regional de Educación Alajuela (DREA),https://drea.mep.go.cr/circuito-09/jardin-de-ninos-primo-vargas-valverde,educación,gobierno,"Dirección Regional del Ministerio de Educación Pública de Costa Rica encargada de la administración,",NEW,CR,serper_search,2026-03-23 02:12
info@nidomontessoricr.com,Nido Montessori,https://nidomontessoricr.com/contactactenos/,educación,pyme,Nido Montessori es un preescolar y guardería ubicado en Costa Rica que implementa la metodología Mon,NEW,CR,serper_search,2026-03-23 02:12
jn.pedroaguirrecerda@mep.go.cr,Dirección Regional de Educación Alajuela (DREA),https://drea.mep.go.cr/circuito-07/jardin-de-ninos-pedro-aguirre-cerda,educación,gobierno,"Dirección Regional del Ministerio de Educación Pública de Costa Rica encargada de administrar, coord",NEW,CR,serper_search,2026-03-23 02:12
jardindeninoscarolina@hotmail.com,Red de Cuido y Desarrollo Infantil (Red CUDI) - Jardín de Niños Carolina,https://redcuidoinfantil.go.cr/centro/jardin-de-ninos-carolina/,educación,gobierno,Centro de cuidado y desarrollo infantil que forma parte de la Red de Cuido y Desarrollo Infantil de ,NEW,CR,serper_search,2026-03-23 02:12
jn.elroble@mep.go.cr,Dirección Regional Educación Puntarenas,https://drep.go.cr/jardin-de-ninos-el-roble/,educación,gobierno,Dirección Regional de Educación de Puntarenas es una institución gubernamental costarricense respons,NEW,CR,serper_search,2026-03-23 02:11
info@caspari.ed.cr,Caspari Montessori,https://caspari.ed.cr/,educación,otro,Centro educativo que implementa el método Montessori con más de 17 años de experiencia. Ofrece un am,NEW,CR,serper_search,2026-03-23 02:11
admisiones@westlandschool.ed.cr,Westland School,https://www.westlandschool.com/,educación,otro,Centro educativo bilingüe ubicado en San Francisco de Heredia que ofrece educación integral desde ma,NEW,CR,serper_search,2026-03-23 02:11
administrativo@sesil.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:11
info@nuestrasenoradebelen.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:11
admsin@tpmontesbello.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:11
alaaa@ppppppppd.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:11
cmaheredia1@gmail.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:11
ccccc@y55555.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:11
sanselerin@hotmail.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:11
adddddd@55555.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:11
info@comunidadeducativacrecer.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:11
servicioalcliente@ctpcit.co.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:11
bbbbbbbbbbbbr@gmail.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
greenfrrr@lllll.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
info@mundoyeah.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
des@22222222222.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
infocreativekids@gmail.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
admisiones@saintnicholas.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
comunicacion@yurusti.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
info@sanangelschool.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
info@nuevaesperanza.co.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
info@n00000.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
info@nuevageneracion.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
info@222ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
info@casdpari.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
admissions@ais.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
info@westlandschool.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
info@villaheredia.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
orientacionvilaseca@gmail.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
info@sssssss.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
admissions@goldenvalley.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
infocol@saintpaul.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
infoesc@saintpaul.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/heredia/,educación,otro,Plataforma digital especializada en el sector educativo de Costa Rica que ofrece directorios de cent,NEW,CR,serper_search,2026-03-23 02:10
sep@soepa.co,SEP International School,https://sep.cr/kids-care/,educación,otro,Institución educativa que ofrece servicios académicos desde guardería (Kids Care) hasta bachillerato,NEW,CR,serper_search,2026-03-23 02:10
direc_ejecutiva@poder-judicial.go.cr,Centro Infantil del Poder Judicial,https://direccionejecutiva.poder-judicial.go.cr/index.php/centro-infantil,salud,gobierno,Centro de educación infantil dependiente del Poder Judicial de Costa Rica que ofrece atención integr,NEW,CR,serper_search,2026-03-23 02:10
dti@pani.go.cr,PANI (Patronato Nacional de la Infancia),https://pani.go.cr/contacto/,gobierno,gobierno,"Institución costarricense responsable de la protección y defensa de los derechos de niños, niñas y a",NEW,CR,serper_search,2026-03-23 02:09
proveeduria@pani.go.cr,PANI (Patronato Nacional de la Infancia),https://pani.go.cr/contacto/,gobierno,gobierno,"Institución costarricense responsable de la protección y defensa de los derechos de niños, niñas y a",NEW,CR,serper_search,2026-03-23 02:09
recursoshumanos@pani.go.cr,PANI (Patronato Nacional de la Infancia),https://pani.go.cr/contacto/,gobierno,gobierno,"Institución costarricense responsable de la protección y defensa de los derechos de niños, niñas y a",NEW,CR,serper_search,2026-03-23 02:09
proteccion@pani.go.cr,PANI (Patronato Nacional de la Infancia),https://pani.go.cr/contacto/,gobierno,gobierno,"Institución costarricense responsable de la protección y defensa de los derechos de niños, niñas y a",NEW,CR,serper_search,2026-03-23 02:09
planificacion@pani.go.cr,PANI (Patronato Nacional de la Infancia),https://pani.go.cr/contacto/,gobierno,gobierno,"Institución costarricense responsable de la protección y defensa de los derechos de niños, niñas y a",NEW,CR,serper_search,2026-03-23 02:09
atencionintegral@pani.go.cr,PANI (Patronato Nacional de la Infancia),https://pani.go.cr/contacto/,gobierno,gobierno,"Institución costarricense responsable de la protección y defensa de los derechos de niños, niñas y a",NEW,CR,serper_search,2026-03-23 02:09
asesoria@pani.go.cr,PANI (Patronato Nacional de la Infancia),https://pani.go.cr/contacto/,gobierno,gobierno,"Institución costarricense responsable de la protección y defensa de los derechos de niños, niñas y a",NEW,CR,serper_search,2026-03-23 02:09
archivo@pani.go.cr,PANI (Patronato Nacional de la Infancia),https://pani.go.cr/contacto/,gobierno,gobierno,"Institución costarricense responsable de la protección y defensa de los derechos de niños, niñas y a",NEW,CR,serper_search,2026-03-23 02:09
presupuesto@pani.go.cr,PANI (Patronato Nacional de la Infancia),https://pani.go.cr/contacto/,gobierno,gobierno,"Institución costarricense responsable de la protección y defensa de los derechos de niños, niñas y a",NEW,CR,serper_search,2026-03-23 02:09
adopciones@pani.go.cr,PANI (Patronato Nacional de la Infancia),https://pani.go.cr/contacto/,gobierno,gobierno,"Institución costarricense responsable de la protección y defensa de los derechos de niños, niñas y a",NEW,CR,serper_search,2026-03-23 02:09
contraloria@pani.go.cr,PANI (Patronato Nacional de la Infancia),https://pani.go.cr/contacto/,gobierno,gobierno,"Institución costarricense responsable de la protección y defensa de los derechos de niños, niñas y a",NEW,CR,serper_search,2026-03-23 02:09
coi@pani.go.cr,PANI (Patronato Nacional de la Infancia),https://pani.go.cr/contacto/,gobierno,gobierno,"Institución costarricense responsable de la protección y defensa de los derechos de niños, niñas y a",NEW,CR,serper_search,2026-03-23 02:09
